date,country,position,streams,artists,artist_genres,duration,explicit,name
2021/04/08,kr,89,12819,IU,k-pop,194426,False,BBIBBI
2015/05/07,tr,116,10806,Justin Timberlake,"dance pop, pop",484146,False,Mirrors
2017/08/24,id,129,62577,Ed Sheeran,"pop, uk pop",170826,False,Galway Girl
2021/03/11,ae,199,8227,Jonas Brothers,"pop, dance pop, boy band, post-teen pop",181026,False,Sucker
2017/07/20,ch,110,28923,"Capo, Nimo","german hip hop, swedish hip hop",253253,False,Lambo Diablo GT (feat. Nimo)
2022/04/14,nz,140,47092,Dua Lipa,"dance pop, pop, uk pop",183290,False,Don't Start Now
2014/09/14,sk,41,2100,American Authors,"indie poptimism, modern rock, pop rock",194000,False,Best Day Of My Life
2020/01/09,bo,136,14636,Morat,"latin pop, colombian pop",229107,False,Enamórate De Alguien Más
2019/05/02,fr,118,346098,"Hamza, SCH","rap francais, rap belge, french hip hop, belgian hip hop, pop urbaine, rap marseille",213274,True,HS (feat. SCH)
2017/02/23,cr,60,32460,"De La Ghetto, Mambo Kingz, DJ Luian, Arcangel, Ozuna, Anuel AA","latin hip hop, reggaeton, puerto rican pop, trap boricua, reggaeton flow, trap latino",334924,True,"La Ocasion (feat. Arcangel, Ozuna & Anuel Aa)"
2017/10/26,au,122,196918,"Peking Duk, AlunaGeorge, Aluna","dance pop, australian pop, tropical house, aussietronica, electropop, edm, house, electro house, australian electropop, pop dance",167058,False,Fake Magic
2021/03/18,ca,42,422973,Dua Lipa,"dance pop, pop, uk pop",165506,False,We're Good
2016/09/15,pe,153,23337,Avicii,"pop rap, pop, pop dance, dance pop, edm",230613,False,Waiting For Love
2017/07/20,us,72,2143755,Rae Sremmurd,"pop rap, mississippi hip hop, southern hip hop, melodic rap, trap, hip hop, rap",208120,True,Swang
2023/02/23,dk,15,252453,Gobs,danish pop,170393,False,I Dette Sekund
2020/10/08,pa,44,37864,"Super Yei, Jone Quest, Sammy, Myke Towers, Lenny Tavárez, Rafa Pabön","trap latino, reggaeton flow, reggaeton, trap argentino",307435,False,La Forma en Que Me Miras
2019/11/14,sv,184,10262,"Calvin Harris, Dua Lipa","pop, progressive house, uk pop, electro house, house, uk dance, dance pop, edm",214846,False,One Kiss (with Dua Lipa)
2014/11/02,my,125,6134,John Mayer,"singer-songwriter, neo mellow",213626,False,XO
2015/11/19,py,143,2501,Avicii,"pop rap, dance pop, pop dance, edm, pop",206066,False,For A Better Day
2022/08/11,au,156,251244,"""Guns N Roses""","rock, glam metal, hard rock",354520,True,Sweet Child O' Mine
2015/06/04,tr,111,8801,"DJ Snake, Lil Jon","pop rap, crunk, southern hip hop, pop, old school atlanta hip hop, pop dance, electronic trap, dirty south rap, dance pop, atl hip hop, edm",213733,False,Turn Down for What
2019/08/29,ro,76,14941,"benny blanco, Halsey, Khalid","pop rap, pop r&b, pop, indie poptimism, etherpop, electropop, dance pop, edm",170769,False,Eastside (with Halsey & Khalid)
2020/10/01,at,97,50339,"Kontra K, AK AUSSERKONTROLLE","german hip hop, christlicher rap",204551,True,Sirenen (feat. AK Ausserkontrolle)
2016/10/13,do,177,5227,"Chino & Nacho, Daddy Yankee, Don Omar, Wisin","latin hip hop, reggaeton, puerto rican pop, latin pop, electro latino, tropical, trap latino",255840,False,Andas En Mi Cabeza - Remix
2016/10/06,lv,143,2378,DNCE,"pop, post-teen pop, dance pop, edm, uk pop",231813,False,Toothbrush
2018/11/22,sk,177,6274,Billie Eilish,"art pop, pop, electropop",200560,False,ocean eyes
2018/12/20,th,42,62079,Bedroom Audio,thai pop,200170,False,รักมือสอง
2018/01/11,pl,151,53605,The Clash,"punk, rock, permanent wave, classic rock",188986,False,Should I Stay or Should I Go - Remastered
2022/10/20,kr,52,43633,BTS,"k-pop, k-pop boy group",204939,False,Run BTS
2014/05/11,fi,31,77720,Sia,"dance pop, australian dance, pop, australian pop",216120,False,Chandelier
2022/05/12,ie,42,94989,Ed Sheeran,"pop, uk pop",236906,False,Overpass Graffiti
2020/11/05,ch,128,48601,"Nea, Felix Jaehn","pop, edm, german dance, electro house, pop dance, scandipop, tropical house, dance pop",186878,False,Some Say - Felix Jaehn Remix
2016/04/14,se,34,522932,Veronica Maggio,swedish pop,221986,False,Den första är alltid gratis
2013-06-02,ie,35,7110,Daft Punk,"electro, filter house",290240,False,Beyond
2019/08/22,mx,115,617155,"Lalo Ebratt, Sebastian Yatra, Yera, Trapical Minds","reggaeton, dominican pop, latin pop, reggaeton flow, colombian hip hop, reggaeton colombiano, colombian pop, trap latino",202823,False,Déjate Querer
2022/02/24,id,2,1926956,Tiara Andini,indonesian pop,220250,False,Merasa Indah
2018/02/15,tr,116,73582,Bengü,turkish pop,186026,False,Kuzum
2017/07/06,ar,14,651167,MC Kevinho,"funk pop, arrocha, funk carioca, funk ostentacao",161593,True,Olha a Explosão
2015/11/19,fi,18,193585,One Direction,"pop, talent show, boy band, post-teen pop",192106,False,Drag Me Down
2018/01/11,do,79,12743,Ozuna,"puerto rican pop, trap latino, reggaeton",206480,False,Una Flor
2022/10/20,nl,185,160800,"GLOWINTHEDARK, SFB, Philly Moré","dutch hip hop, dutch rap pop, dutch house, dutch pop",164900,True,Dansen Op Labanta
2015/09/10,py,40,4984,Pipa Para Tabaco,"paraguayan rock, pop paraguayo",183036,True,Todo Biento
2016/02/04,gr,192,1974,Coldplay,"permanent wave, pop",282693,False,Everglow
2016/02/04,my,164,10864,Pharrell Williams,"pop rap, hip hop",232720,False,"Happy - From ""Despicable Me 2"""
2020/11/19,pt,126,40840,"Lady Gaga, Bradley Cooper","art pop, dance pop, pop, hollywood",215733,False,Shallow
2017/07/20,ec,34,45151,"Don Omar, Zion & Lennox","puerto rican pop, trap latino, latin hip hop, reggaeton",211626,False,Te Quiero Pa´Mi
2015/05/21,tw,118,9926,Magic Power,"taiwan pop, taiwan idol pop, mandopop",255072,False,偷偷的
2019/09/05,gt,85,30387,"Sean Paul, J Balvin","dance pop, pop rap, reggaeton, dancehall, reggaeton colombiano, trap latino",224680,False,Contra La Pared
2015/11/26,ni,96,1407,One Direction,"pop, talent show, boy band, post-teen pop",249493,False,inf
2015/08/27,gt,93,4496,Nicky Jam,"trap latino, latin hip hop, reggaeton",195453,False,Travesuras
2019/02/28,sg,55,87405,Khalid,"pop r&b, pop",229320,False,Better
2019/02/14,tr,40,270191,Summer Cem,german hip hop,147120,True,Tamam Tamam
2021/04/29,bg,154,6318,V:RGO,"bulgarian trap, balkan trap, bulgarian pop",185125,True,DO RE MI
2018/09/27,ie,64,63718,"A$AP Rocky, Skepta","instrumental grime, birmingham grime, grime, east coast hip hop, hip hop, rap",205040,True,Praise The Lord (Da Shine) (feat. Skepta)
2016/03/31,global,38,7461260,Coldplay,"permanent wave, pop",263786,False,Adventure of a Lifetime
2016/01/21,tw,25,59843,David Guetta,"pop, big room, pop dance, dance pop, edm",193333,False,Bang My Head (feat. Sia & Fetty Wap)
2017/07/06,pt,73,30892,"Nego do Borel, Anitta, Wesley Safadão","arrocha, funk carioca, pop nacional, forro, funk das antigas, pagode baiano, funk ostentacao, pop, funk pop",179000,False,Você Partiu Meu Coração (feat. Anitta & Wesley Safadão)
2015/02/08,cl,171,16032,Farruko,"trap latino, latin hip hop, reggaeton",221613,False,Lejos De Aquí
2020/10/15,hn,27,36266,Dalex,"trap latino, r&b en espanol, reggaeton",161748,False,+Linda
2021/04/29,au,113,261684,James Arthur,"talent show, pop, uk pop",208826,False,Train Wreck
2020/07/02,ph,29,615539,"Conkarah, Shaggy, DJ Fle","jawaiian, reggae fusion, pop rap, dance pop",210328,False,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix
2021/04/29,co,142,82050,Bad Bunny,"reggaeton, trap latino",175918,False,A Tu Merced
2017/09/07,is,120,6197,"OneRepublic, Seeb","pop, norwegian pop, piano rock, uk pop, pop dance, electro house, dance pop, tropical house, pop edm, edm",201256,False,Rich Love (with Seeb)
2019/01/31,pl,159,89579,Dawid Podsiadło,"polish pop, talent show",182279,False,Pastempomat
2014/12/28,it,51,83909,Wham!,"europop, new romantic, mellow gold, synthpop, disco, soft rock, new wave pop, dance pop, new wave",262960,False,Last Christmas
2014/02/02,uy,16,1019,"Calvin Harris, Alesso, Hurts","house, tropical house, neo-synthpop, dance pop, pop dance, metropopolis, edm, uk dance, electro house, progressive house, pop",184373,False,Under Control (feat. Hurts)
2020/11/12,gr,191,18405,Dua Lipa,"dance pop, pop, uk pop",183290,False,Don't Start Now
2021/03/04,ch,12,168493,"Bausa, Apache 207",german hip hop,195734,False,Madonna
2015/02/15,gb,111,155591,"Beyoncé, JAY-Z","pop, r&b, east coast hip hop, dance pop, hip hop, rap",323480,True,Drunk in Love (feat. Jay-Z)
2018/08/30,ec,83,28121,"Luis Fonsi, Demi Lovato","pop, latin pop, puerto rican pop, uk pop, dance pop, post-teen pop",173720,False,Échame La Culpa
2020/06/18,co,126,80575,"Anuel AA, Enrique Iglesias","trap boricua, reggaeton flow, trap latino, reggaeton, latin pop, mexican pop",221428,True,Fútbol & Rumba (feat. Enrique Iglesias)
2021/04/29,fi,148,43804,Polo G,"chicago rap, rap",132832,True,Martin & Gina
2020/05/14,ie,67,82618,"Khalid, Disclosure","pop r&b, pop, house, uk dance, edm",181436,False,Know Your Worth
2016/11/03,nl,62,287873,Lijpe,dutch hip hop,178866,True,Gewoon
2021/02/18,gr,7,95418,CJ,nyc rap,123262,True,Whoopty
2018/12/06,pt,184,23927,Piruka,"rap criolo, hip hop tuga",204759,False,Se Não Acordar Amanhã
2015/12/17,gr,136,2966,One Direction,"boy band, talent show, post-teen pop, pop",192160,False,Long Way Down
2017/12/07,mt,24,8756,"Jason Derulo, French Montana","pop rap, gangster rap, southern hip hop, pop, rap, dance pop, edm, trap, hip hop, post-teen pop",187521,False,Tip Toe (feat. French Montana)
2022/09/08,pe,171,122811,Don Omar,"latin hip hop, reggaeton, trap latino, puerto rican pop",204600,False,Dile
2019/12/12,sa,109,9782,"Post Malone, Ozzy Osbourne, Travis Scott","album rock, melodic rap, dfw rap, rock, metal, birmingham metal, slap house, hard rock, rap",229573,False,Take What You Want (feat. Ozzy Osbourne & Travis Scott)
2022/05/05,ca,182,227505,Chief Keef,"drill, southern hip hop, chicago rap, underground hip hop, chicago bop, chicago drill, trap, hip hop, rap",246213,True,Love Sosa
2015/06/04,cl,82,25676,Romeo Santos,bachata,250640,False,Eres Mía
2016/12/29,py,132,6567,La De Roberto,"folklore paraguayo, paraguayan rock, pop paraguayo",207763,False,Hemisferios
2017/03/16,pl,153,33063,"Sean Paul, Dua Lipa","pop rap, pop, uk pop, dancehall, dance pop",221176,False,No Lie
2021/10/28,my,62,110170,SEVENTEEN,"k-pop, k-pop boy group",225573,False,To you
2021/05/06,fr,36,822618,Therapie TAXI,"new french touch, french pop, french indie pop",192613,False,Eté 90
2017/06/29,hu,18,40972,Imagine Dragons,"modern rock, rock",201240,False,Whatever It Takes
2020/10/22,it,192,279798,Ultimo,"italian pop, italian adult pop",244666,False,Tutto questo sei tu
2015/01/25,hn,142,1289,"Michael Jackson, Justin Timberlake","dance pop, r&b, soul, pop",246026,False,Love Never Felt So Good
2016/07/21,hn,105,5321,Banda MS de Sergio Lizárraga,"banda, musica mexicana, norteno",190773,False,Háblame de Ti
2016/06/02,ie,128,18783,"Ariana Grande, Nicki Minaj","queens hip hop, pop, hip pop, dance pop, rap",226160,True,Side To Side
2021/04/08,vn,177,33132,AMEE,v-pop,253500,False,trời giấu trời mang đi
2019/10/03,id,174,206446,"Khalid, Disclosure","pop r&b, pop, house, uk dance, edm",197573,False,Talk (feat. Disclosure)
2014/10/05,de,21,445812,Marlon Roudette,uk pop,204026,False,When The Beat Drops Out
2018/10/04,ie,158,34188,Hozier,"irish singer-songwriter, pop",241688,False,Take Me To Church
2015/01/11,hu,24,8888,Sam Smith,"dance pop, pop, uk pop",172723,False,Stay With Me
2018/08/23,ch,51,76762,"Zedd, Elley Duhé","pop rap, complextro, pop, alt z, post-teen pop, pop dance, electro house, tropical house, electropop, dance pop, german techno, edm",207029,False,Happy Now
2017/11/09,it,35,394017,Coez,"italian pop, rome indie, rap napoletano",201853,False,E yo mamma
2018/12/27,nl,1,1892450,Mariah Carey,"dance pop, pop, urban contemporary",241106,False,All I Want for Christmas Is You
2017/11/30,fi,184,47227,Ariana Grande,"dance pop, pop",204093,False,Santa Tell Me
2021/01/28,hn,105,16199,"Maluma, Myke Towers","reggaeton colombiano, trap latino, reggaeton",198569,True,Madrid (feat. Myke Towers)
